                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 SIP 13   AST SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 5 1 2 . 2 1 5 01 --
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 SIP 13   WTR SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 5 1 2 . 2 1 5 01 --
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 SIP 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 5 1 2 . 2 1 5 01 --
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 DYB 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 5 1 2 . 2 1 5 01 --
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 DYB 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 --
TSR   WRC DYB 10 SIP 19 SAB 18 SAB 14 DYB 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 --
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 --
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 SIP 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 --
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 --
WTC   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 00
WTC   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 00
WTC   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 00
WTC   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 00
WTC   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 00
WTC   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 00
WTC   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 00
WTC   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 01 01
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 DYB 13   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 02 --
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 SAB 12   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 - 1 2 . 2 1 5 02 --
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 SIP 12   WRC DYB 12 DYB 15 SAB 10 SAB 13 DYB 16 5 1 2 . 2 1 5 02 --
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 SIP 12   WRC DYB 12 SAB 14 SAB 10 SAB 13 DYB 16 5 1 2 . - 1 5 02 --
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 SIP 12   WRC SAB 11 SAB 14 SAB 10 SAB 13 DYB 16 5 1 2 . - - 5 02 --
TSR   WRC DYB 10 DYB 19 SAB 18 SAB 14 SIP 12   WRC SIP 11 SAB 14 SAB 10 SAB 13 DYB 16 5 1 2 . 1 - 5 02 --
TSR   WRC DYB 10 SAB 18 SAB 18 SAB 14 SIP 12   WRC SIP 11 SAB 14 SAB 10 SAB 13 DYB 16 5 1 - . 1 - 5 02 --
TSR   WRC SAB 09 SAB 18 SAB 18 SAB 14 SIP 12   WRC SIP 11 SAB 14 SAB 10 SAB 13 DYB 16 5 - - . 1 - 5 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SAB 14 SIP 12   WRC SIP 11 SAB 14 SAB 10 SAB 13 DYB 16 5 - 1 . 1 - 5 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SAB 14 SIP 12   WRC SIP 11 SAB 14 SAB 10 SAB 13 SAB 15 5 - 1 . 1 - - 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SAB 14 SIP 12   WRC SIP 11 SAB 14 SAB 10 SAB 13 SIP 15 5 - 1 . 1 5 - 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 SAB 13 SIP 15 5 4 1 . 1 5 - 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 SIP 14 SIP 15 5 4 1 . 1 5 4 02 --
TSR   AST SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 SIP 14 SIP 15 5 4 1 . 1 5 4 02 --
TSR   WTR SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 SIP 14 SIP 15 5 4 1 . 1 5 4 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 SIP 14 SIP 15 5 4 1 . 1 5 4 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   AST SIP 11 SAB 14 SAB 10 SIP 14 SIP 15 5 4 1 . 1 5 4 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   WTR SIP 11 SAB 14 SAB 10 SIP 14 SIP 15 5 4 1 . 1 5 4 02 --
TSR   WRC SIP 09 SAB 18 SAB 18 SIP 15 SIP 12   WRC SIP 11 SAB 14 SAB 10 SIP 14 SIP 15 5 4 1 . 1 5 4 02 --
